State,University/College ,Campus,"Student
enrollment","Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
ALABAMA,Jacksonville State University,,8514,13,0,3,0,10,57,13,43,1,
,Samford University,,5471,3,0,1,0,2,105,21,84,0,
,Troy University,,17855,1,0,1,0,0,76,14,58,4,
,University of Alabama: ,Birmingham,19535,28,0,1,5,22,456,8,429,19,
,,Tuscaloosa,37663,34,1,6,4,23,291,42,245,4,
,University of North Alabama,,7333,7,0,0,2,5,40,6,34,0,
,University of South Alabama,,16443,22,0,0,0,22,168,14,148,6,
ALASKA,University of Alaska: ,Anchorage,16318,2,0,0,1,1,76,3,65,8,0
,,Fairbanks,8283,4,0,1,0,3,66,0,62,4,0
ARIZONA,Arizona State University,Main Campus,97849,32,0,15,2,15,866,81,764,21,2
,Central Arizona College,,5585,0,0,0,0,0,12,2,9,1,0
,Northern Arizona University,,30361,24,0,12,1,11,267,18,249,0,0
,Pima Community College,,24956,3,0,2,1,0,76,8,66,2,0
,University of Arizona,,43161,22,0,9,4,9,617,64,536,17,1
ARKANSAS,Arkansas State University: ,Beebe,3989,0,0,0,0,0,6,2,4,0,0
,,Jonesboro,14085,5,0,2,0,3,62,10,52,0,1
,,Newport,2735,0,0,0,0,0,0,0,0,0,0
,Arkansas Tech University,,11894,1,0,1,0,0,101,10,90,1,0
,Henderson State University,,3551,5,0,2,2,1,30,2,27,1,2
,Southern Arkansas University,,4771,3,0,2,1,0,18,3,14,1,0
,University of Arkansas Community College,Morrilton,2029,0,0,0,0,0,7,0,7,0,1
,University of Arkansas: ,Fayetteville,27194,9,0,2,2,5,226,13,170,43,2
,,Little Rock,11746,3,0,0,1,2,80,5,74,1,0
,,Medical Sciences,2869,9,0,0,1,8,95,0,88,7,0
,,Pine Bluff,2821,3,0,0,1,2,57,12,44,1,0
CALIFORNIA,Allan Hancock College,,12012,0,0,0,0,0,6,1,5,0,0
,California State Polytechnic University: ,Pomona,25326,4,0,2,2,0,213,23,159,31,1
,,San Luis Obispo,21306,9,0,4,1,4,147,23,116,8,0
,California State University: ,Bakersfield,9341,3,0,2,0,1,75,10,65,0,0
,,Channel Islands,6611,1,0,0,0,1,44,0,42,2,0
,,Chico,17557,13,0,8,1,4,207,13,184,10,0
,,Dominguez Hills,14731,7,0,1,3,3,40,5,34,1,0
,,East Bay,15855,6,0,3,2,1,122,49,73,0,0
,,Fresno,24405,14,0,3,2,9,255,48,195,12,2
,,Fullerton,40235,5,0,3,1,1,187,13,167,7,1
,,Long Beach,37776,9,0,5,2,2,169,7,141,21,0
,,Los Angeles,27827,3,0,1,1,1,120,6,102,12,0
,,Monterey Bay,7274,12,0,4,0,8,39,6,32,1,0
,,Northridge,39916,9,0,4,0,5,297,13,258,26,4
,,Sacramento,30510,2,0,1,1,0,200,26,171,3,2
,,San Bernardino,20767,6,0,1,3,2,120,15,81,24,1
,,San Jose,32154,33,0,11,7,15,307,28,269,10,7
,,San Marcos,13144,6,0,5,0,1,20,0,19,1,1
,,Stanislaus,9762,5,0,4,0,1,47,0,39,8,1
,College of the Sequoias,,11959,1,0,0,1,0,75,5,62,8,1
,Contra Costa Community College,,34487,11,0,0,4,7,176,20,145,11,1
,Cuesta College,,10232,0,0,0,0,0,9,0,8,1,0
,El Camino College,,24033,4,0,0,0,4,73,7,61,5,0
,Foothill-De Anza College,,37085,1,0,0,0,1,21,1,18,2,0
,Humboldt State University,,8503,4,0,3,0,1,73,7,65,1,1
,Irvine Valley College,,14147,0,0,0,0,0,21,1,20,0,0
,Marin Community College,,5621,2,1,0,0,1,23,1,22,0,0
,Mt. San Jacinto College,,15497,1,0,0,0,1,31,4,24,3,0
,Pasadena Community College,,27165,1,0,0,1,0,93,3,86,4,1
,Riverside Community College,,38677,2,0,1,1,0,73,7,56,10,1
,San Bernardino Community College,,5937,11,0,0,4,7,74,12,54,8,1
,San Diego State University,,34688,15,0,2,11,2,547,73,460,14,1
,San Francisco State University,,29045,9,0,2,5,2,189,27,153,9,0
,San Jose/Evergreen Community College ,,17213,0,0,0,0,0,37,8,22,7,0
,Santa Rosa Junior College,,21217,0,0,0,0,0,52,4,47,1,0
,Sonoma State University,,9323,4,0,4,0,0,71,8,47,16,0
,State Center Community College District,,39661,4,0,1,1,2,162,33,119,10,2
,University of California: ,Berkeley,40154,71,0,16,29,26,780,46,704,30,17
,,Davis,36460,17,0,4,2,11,566,25,535,6,4
,,Irvine,32754,15,0,6,0,9,503,21,473,9,1
,,Los Angeles,43548,108,0,20,18,70,831,169,635,27,2
,,Medical Center Sacramento,,5,0,1,0,4,168,6,159,3,4
,,Merced,7336,0,0,0,0,0,51,8,42,1,2
,,Riverside,22715,13,0,6,6,1,296,27,262,7,0
,,San Diego,34979,8,0,2,2,4,608,25,566,17,9
,,San Francisco,3145,22,0,2,4,16,419,25,389,5,0
,,Santa Barbara,24346,56,0,44,0,12,300,35,263,2,1
,,Santa Cruz,18783,13,0,6,0,7,219,24,189,6,6
,Ventura County Community College District,,33976,1,0,1,0,0,64,15,46,3,0
,West Valley-Mission College,,16131,3,0,0,0,3,22,8,10,4,0
COLORADO,Adams State University,,3370,0,0,0,0,0,21,2,17,2,0
,Aims Community College,,5652,0,0,0,0,0,1,0,1,0,0
,Arapahoe Community College,,10261,1,0,0,0,1,6,0,6,0,0
,Auraria Higher Education Center4,,,5,0,0,2,3,130,22,99,9,4
,Colorado School of Mines,,6069,0,0,0,0,0,42,2,38,2,0
,Colorado State University,Fort Collins,31856,11,0,5,0,6,395,23,365,7,6
,Fort Lewis College,,3600,4,0,3,1,0,35,4,31,0,0
,Pikes Peak Community College,,13154,2,0,1,0,1,26,2,24,0,0
,Red Rocks Community College,,7738,0,0,0,0,0,17,1,15,1,0
,University of Colorado:,Boulder,33977,18,0,11,2,5,510,17,485,8,5
,,Colorado Springs,12559,2,0,1,1,0,69,2,62,5,0
,,Denver,23960,4,0,0,0,4,93,1,83,9,0
,University of Northern Colorado,,13087,3,0,2,0,1,130,3,125,2,1
CONNECTICUT,Central Connecticut State University,,11784,0,0,0,0,0,38,4,32,2,0
,Eastern Connecticut State University,,5362,0,0,0,0,0,34,0,33,1,0
,Southern Connecticut State University,,10320,1,0,1,0,0,39,3,35,1,0
,University of Connecticut: ,Health Center4,,0,0,0,0,0,2,0,2,0,0
,,Storrs and Avery Point and Hartford4,,15,0,11,3,1,194,11,178,5,1
,Western Connecticut State University,,5721,0,0,0,0,0,35,3,32,0,0
,Yale University,,12458,3,0,0,2,1,253,33,217,3,0
DELAWARE,Delaware State University,,4328,12,0,5,3,4,99,9,89,1,0
,University of Delaware,,23009,3,0,1,0,2,163,8,154,1,4
FLORIDA,Florida A&M University,,9619,1,0,1,0,0,61,22,36,3,0
,Florida Atlantic University,,30541,13,0,7,0,6,180,19,141,20,0
,Florida Gulf Coast University,,14821,6,0,4,0,2,69,2,65,2,0
,Florida International University,,55003,11,0,3,3,5,303,23,265,15,0
,Florida Polytechnic University4,,,0,0,0,0,0,7,1,6,0,0
,Florida SouthWestern State College,,16627,0,0,0,0,0,11,0,11,0,0
,Florida State University:,Panama City4,,0,0,0,0,0,5,0,5,0,0
,,Tallahassee,41173,25,0,13,8,4,441,32,385,24,0
,New College of Florida,,875,0,0,0,0,0,28,1,27,0,0
,Pensacola State College,,9643,2,0,1,1,0,38,7,30,1,1
,Santa Fe College,,15404,0,0,0,0,0,19,0,19,0,0
,Tallahassee Community College,,12200,2,0,2,0,0,63,1,60,2,0
,University of Central Florida,,64088,19,0,7,0,12,268,24,236,8,0
,University of Florida,,52367,13,0,5,1,7,323,25,282,16,0
,University of North Florida,,15762,9,0,4,2,3,64,0,61,3,0
,University of South Florida: ,St. Petersburg,4702,0,0,0,0,0,28,1,27,0,0
,,Tampa,42861,14,0,3,1,10,267,25,221,21,1
,University of West Florida,,12966,4,0,3,1,0,39,3,36,0,0
GEORGIA,Abraham Baldwin Agricultural College,,3475,0,0,0,0,0,32,0,32,0,0
,Agnes Scott College,,927,1,0,1,0,0,18,4,14,0,0
,Albany State University,,3041,0,0,0,0,0,12,0,11,1,0
,Andrew College,,276,0,0,0,0,0,16,4,12,0,0
,Armstrong State University,,7157,2,0,2,0,0,39,13,24,2,0
,Athens Technical College,,4210,0,0,0,0,0,0,0,0,0,0
,Atlanta Metropolitan State College,,2783,3,0,0,1,2,9,0,9,0,0
,Augusta Technical College,,4370,0,0,0,0,0,8,0,7,1,0
,Augusta University,,7938,1,0,1,0,0,174,4,155,15,0
,Bainbridge State College,,2468,0,0,0,0,0,0,0,0,0,0
,Berry College,,2174,0,0,0,0,0,57,16,41,0,0
,Chattahoochee Technical College,,9999,0,0,0,0,0,8,0,8,0,0
,Clark Atlanta University,,3884,11,0,0,11,0,84,7,75,2,0
,Clayton State University,,6996,0,0,0,0,0,25,0,24,1,0
,College of Coastal Georgia,,3529,2,0,0,0,2,4,0,4,0,0
,Columbus State University,,8407,7,0,3,1,3,67,5,62,0,0
,Dalton State College,,5188,1,0,0,0,1,5,0,5,0,0
,East Georgia College,,3152,0,0,0,0,0,18,4,14,0,0
,Emory University,,14067,15,0,9,1,5,415,38,373,4,0
,Fort Valley State University,,2679,0,0,0,0,0,26,5,19,2,0
,Georgia College and State University,,6915,4,0,4,0,0,34,1,26,7,0
,Georgia Gwinnett College,,12052,4,0,1,0,3,61,2,59,0,0
,Georgia Institute of Technology,,26839,16,0,5,2,9,298,26,262,10,1
,Georgia Military College,,8234,0,0,0,0,0,0,0,0,0,0
,Georgia Southern University,,20673,10,0,6,3,1,119,3,116,0,0
,Georgia Southwestern State University,,2954,4,0,0,0,4,27,0,27,0,0
,Georgia State University,,32237,21,0,2,14,5,259,4,245,10,0
,Gordon State College,,3901,1,0,0,1,0,23,3,20,0,0
,Gwinnett Technical College,,7479,0,0,0,0,0,6,0,6,0,0
,Kennesaw State University,,35018,12,0,8,3,1,136,17,117,2,1
,Mercer University,,8615,3,0,2,0,1,68,1,63,4,0
,Middle Georgia State University,,7714,2,0,1,0,1,16,1,14,1,0
,Morehouse College,,2108,2,0,0,2,0,130,56,70,4,0
,Piedmont College,,2266,0,0,0,0,0,0,0,0,0,0
,Southern Crescent Technical College,,4703,0,0,0,0,0,5,1,4,0,0
,South Georgia State College,,2542,0,0,0,0,0,1,1,0,0,0
,Spelman College,,2125,0,0,0,0,0,21,3,18,0,0
,University of Georgia,,36574,15,0,12,1,2,316,31,281,4,1
,University of North Georgia,,18219,0,0,0,0,0,26,0,26,0,0
,University of West Georgia,,13308,3,0,2,0,1,103,20,83,0,
,Valdosta State University,,11375,4,0,1,1,2,139,11,122,6,1
,Wesleyan College,,676,2,0,2,0,0,2,0,2,0,
,West Georgia Technical College,,6743,0,0,0,0,0,20,0,20,0,
,Young Harris College,,1200,3,0,2,0,1,3,0,3,0,0
ILLINOIS,Black Hawk College:,Kewanee4,,0,0,0,0,0,1,0,1,0,0
,,Moline,5613,0,0,0,0,0,3,1,2,0,0
,Chicago State University,,3578,0,0,0,0,0,36,4,32,0,0
,College of DuPage,,26901,1,0,0,1,0,23,0,21,2,0
,College of Lake County,,14768,0,0,0,0,0,37,2,35,0,0
,Eastern Illinois University,,7415,5,0,3,0,2,33,0,33,0,0
,Elgin Community College,,9918,0,0,0,0,0,5,0,5,0,0
,Illinois Central College,,9290,0,0,0,0,0,26,4,22,0,0
,Illinois State University,,21039,13,0,8,0,5,97,11,84,2,1
,John Wood Community College,,1968,0,0,0,0,0,1,0,1,0,0
,Joliet Junior College,,15383,0,0,0,0,0,13,0,13,0,0
,Kankakee Community College,,3078,0,0,0,0,0,0,0,0,0,0
,Lake Land College,,5107,0,0,0,0,0,3,0,3,0,0
,Lewis University,,6544,4,0,2,2,0,12,2,10,0,0
,Lincoln Land Community College,,5744,0,0,0,0,0,12,0,11,1,0
,Loyola University of Chicago,,16422,20,0,2,13,5,127,1,123,3,0
,McHenry County College,,6371,1,0,0,0,1,5,2,3,0,0
,Millikin University,,2055,0,0,0,0,0,33,1,32,0,0
,Moraine Valley Community College,,15021,1,0,0,0,1,22,0,22,0,0
,Morton College,,4397,0,0,0,0,0,4,1,3,0,0
,Northeastern Illinois University,,9538,2,0,0,0,2,14,0,13,1,0
,Northern Illinois University,,19015,11,0,5,0,6,147,26,121,0,0
,Northwestern University,Evanston,21823,12,0,6,5,1,193,26,165,2,1
,Oakton Community College,,9443,0,0,0,0,0,5,0,5,0,0
,Parkland College,,7569,2,0,0,0,2,23,0,23,0,0
,Prairie State College,,4484,1,0,0,0,1,6,0,6,0,0
,Rend Lake College,,2489,0,0,0,0,0,0,0,0,0,0
,Southern Illinois University:,Carbondale,15987,5,0,1,2,2,117,6,109,2,0
,,Edwardsville,14142,5,0,3,0,2,53,3,50,0,0
,,School of Medicine4,,0,0,0,0,0,0,0,0,0,0
,South Suburban College,,3703,0,0,0,0,0,6,1,5,0,0
,Southwestern Illinois College,,9515,0,0,0,0,0,25,1,23,1,0
,Triton College,,11386,2,0,0,1,1,20,0,20,0,0
,University of Chicago,Cook County,15775,19,0,0,8,11,214,21,189,4,0
,University of Illinois:,Springfield,5428,2,0,0,0,2,30,5,25,0,0
,,Urbana,46951,22,0,12,4,6,316,10,305,1,1
,Waubonsee Community College,,10081,0,0,0,0,0,22,0,22,0,0
,Western Illinois University,,10373,11,0,9,0,2,83,6,77,0,1
INDIANA,Ball State University,,21998,11,0,9,1,1,204,22,177,5,0
,Indiana State University,,13565,15,0,1,0,14,53,0,51,2,
,Indiana University:,Bloomington,49695,18,0,7,2,9,433,55,371,7,
,,Indianapolis,29804,14,0,6,5,3,252,18,223,11,2
,,Northwest,5591,0,0,0,0,0,20,0,20,0,
,,Southeast,5874,2,0,2,0,0,6,0,6,0,0
,Marian University,,3165,1,0,1,0,0,20,1,17,2,0
,Purdue University,,41513,18,0,6,1,11,308,18,284,6,0
IOWA,Iowa State University,,36350,19,0,9,1,9,225,9,211,5,0
,University of Iowa,,32011,25,0,16,1,8,312,24,277,11,1
,University of Northern Iowa,,11905,9,0,6,0,3,85,6,78,1,0
KANSAS,Emporia State University,,5887,0,0,0,0,0,19,3,16,0,0
,Garden City Community College,,2053,0,0,0,0,0,8,8,0,0,0
,Kansas City Kansas Community College,,5726,0,0,0,0,0,19,2,15,2,0
,Kansas State University,,23779,1,0,1,0,0,116,13,101,2,0
,University of Kansas:,Main Campus,27565,5,0,2,2,1,152,13,138,1,0
,,Medical Center4,,17,0,1,2,14,119,0,116,3,0
,Washburn University,,6636,3,0,2,1,0,69,2,66,1,1
,Wichita State University,,14166,4,0,1,1,2,74,5,67,2,0
KENTUCKY,Eastern Kentucky University,,16881,7,0,5,0,2,185,27,147,11,0
,Morehead State University,,10746,3,0,3,0,0,44,3,41,0,0
,Murray State University,,10486,2,0,2,0,0,72,6,66,0,1
,Northern Kentucky University,,14542,4,0,3,0,1,60,0,59,1,0
,University of Kentucky5,,29781,12,0,4,1,7,,30,,22,3
,University of Louisville,,21578,10,0,0,10,0,316,26,278,12,0
,Western Kentucky University,,20271,5,0,4,0,1,96,6,88,2,0
LOUISIANA,Delgado Community College,,15110,3,0,0,0,3,22,2,20,0,0
,Dillard University,,1261,1,0,1,0,0,25,9,16,0,0
,Grambling State University,,4863,13,2,4,2,5,99,34,62,3,0
,Louisiana State University: ,Baton Rouge,31409,15,1,4,2,8,287,40,238,9,0
,,Health Sciences Center New Orleans,2758,0,0,0,0,0,0,0,0,0,0
,,Health Sciences Center Shreveport,874,2,0,0,0,2,26,2,24,0,0
,,Shreveport,4746,2,0,0,1,1,21,15,6,0,0
,Louisiana Tech University,,12672,3,0,2,0,1,73,7,66,0,0
,McNeese State University6,,7621,0,0,0,0,0,20,2,18,0,0
,Nicholls State University,,6255,3,0,0,0,3,24,3,21,0,0
,Southern University and A&M College: ,Baton Rouge,5877,6,0,0,2,4,113,4,108,1,0
,,New Orleans,2430,0,0,0,0,0,0,0,0,0,0
,,Shreveport,3240,1,0,0,0,1,1,1,0,0,0
,Tulane University,,12581,1,0,0,1,0,214,31,182,1,0
,University of Louisiana:,Lafayette,17519,19,0,3,2,14,202,40,159,3,1
,,Monroe,9038,4,0,1,1,2,53,4,49,0,1
,University of New Orleans,,8037,4,0,2,0,2,95,6,89,0,0
MAINE,University of Maine: ,Farmington,2000,5,0,5,0,0,22,0,22,0,0
,,Orono,11219,10,0,9,0,1,104,7,96,1,1
,University of Southern Maine,,7855,2,0,1,0,1,21,0,21,0,0
MARYLAND,Bowie State University,,5669,8,0,0,0,8,39,13,26,0,0
,Coppin State University,,2939,3,0,0,1,2,38,9,26,3,0
,Frostburg State University,,5676,0,0,0,0,0,26,3,23,0,0
,Hagerstown Community College,,4061,0,0,0,0,0,4,1,3,0,0
,Morgan State University,,7689,9,0,3,4,2,115,4,111,0,0
,Prince George's County Community College,,12417,2,0,0,0,2,26,0,26,0,0
,Salisbury University,,8748,2,0,0,1,1,65,2,63,0,1
,Towson University,,22343,5,0,2,1,2,78,1,73,4,1
,University of Baltimore,,5983,3,0,0,2,1,25,1,24,0,0
,University of Maryland: ,Baltimore City,6482,11,0,0,5,6,64,1,59,4,0
,,Baltimore County,13640,1,0,1,0,0,66,9,55,2,0
,,College Park,39083,14,1,3,3,7,316,20,291,5,0
,,Eastern Shore,3904,3,0,1,2,0,50,14,36,0,0
MASSACHUSETTS,Amherst College,,1849,16,0,16,0,0,45,13,32,0,
,Assumption College,,2607,6,0,3,0,3,16,1,15,0,0
,Babson College,,3165,7,0,6,0,1,39,3,36,0,
,Becker College,,2189,4,0,1,1,2,12,3,8,1,0
,Bentley University,,5506,4,0,3,0,1,52,6,45,1,2
,Boston University,,32695,17,0,9,3,5,383,23,358,2,0
,Brandeis University,,5729,3,0,1,1,1,35,5,30,0,
,Bridgewater State University,,10998,17,0,8,1,8,35,4,31,0,0
,Bunker Hill Community College,,13253,0,0,0,0,0,43,0,43,0,
,Clark University,,3298,3,0,1,1,1,27,2,24,1,
,College of the Holy Cross,,2720,2,0,0,0,2,20,5,15,0,
,Dean College,,1339,1,0,0,1,0,26,13,13,0,0
,Emerson College,,4442,7,0,4,2,1,38,3,35,0,
,Endicott College,,4835,5,0,5,0,0,18,0,18,0,
,Fitchburg State University,,6763,13,0,6,7,0,15,2,13,0,
,Gordon College,,2004,2,0,2,0,0,66,3,63,0,
,Hampshire College,,1321,3,0,2,0,1,36,6,30,0,1
,Harvard University,,29908,10,0,3,2,5,405,50,348,7,
,Massachusetts College of Art,,1982,0,0,0,0,0,46,0,46,0,
,Massachusetts College of Liberal Arts,,1644,1,0,0,0,1,8,1,7,0,0
,Massachusetts Institute of Technology,,11376,9,0,3,1,5,252,15,236,1,0
,Massasoit Community College,,7471,4,0,0,0,4,17,0,17,0,0
,MCPHS University,,7095,0,0,0,0,0,8,1,7,0,
,Merrimack College,,4014,12,0,3,0,9,36,8,27,1,
,Mount Holyoke College,,2327,1,0,1,0,0,18,0,18,0,0
,Mount Wachusett Community College,,3961,0,0,0,0,0,9,0,9,0,
,Northeastern University,,20381,15,0,9,0,6,229,10,216,3,
,Salem State University,,9001,1,0,0,0,1,49,7,41,1,0
,Smith College,,2896,1,0,1,0,0,47,8,39,0,0
,Springfield College,,3144,5,0,4,1,0,44,3,38,3,
,Springfield Technical Community College,,5622,0,0,0,0,0,26,1,24,1,0
,Stonehill College,,2481,8,0,5,0,3,12,1,11,0,
,Tufts University:,Medford,11489,5,0,1,1,3,49,4,45,0,0
,,Worcester4,,0,0,0,0,0,1,0,1,0,0
,University of Massachusetts:,Harbor Campus Boston,16847,4,0,1,0,3,27,0,27,0,0
,,Medical Center Worcester,1108,18,0,1,0,17,59,1,56,2,0
,Wellesley College,,2482,2,0,2,0,0,25,2,23,0,
,Wentworth Institute of Technology,,4526,1,0,1,0,0,51,3,48,0,
,Western New England University,,3810,1,0,1,0,0,36,3,33,0,
,Westfield State University,,6335,8,0,3,0,5,33,2,30,1,0
,Worcester Polytechnic Institute,,6642,4,0,1,2,1,57,1,56,0,0
MICHIGAN,Central Michigan University,,25986,4,0,1,0,3,74,5,68,1,0
,Delta College,,9132,0,0,0,0,0,13,3,10,0,0
,Eastern Michigan University,,21246,16,0,10,0,6,170,25,140,5,2
,Ferris State University,,14187,4,0,2,0,2,45,3,39,3,0
,Grand Rapids Community College,,14464,0,0,0,0,0,69,4,63,2,0
,Grand Valley State University,,25460,2,0,2,0,0,140,10,130,0,0
,Kalamazoo Valley Community College,,8549,0,0,0,0,0,23,1,22,0,0
,Kellogg Community College,,4815,0,0,0,0,0,4,0,4,0,0
,Kirtland Community College,,1529,0,0,0,0,0,1,0,1,0,0
,Lansing Community College,,13583,3,0,1,0,2,45,0,45,0,0
,Macomb Community College,,21734,2,0,0,0,2,26,3,21,2,0
,Michigan State University,,50340,24,0,12,1,11,603,56,519,28,1
,Michigan Technological University,,7252,0,0,0,0,0,36,0,36,0,1
,Mott Community College,,8013,1,0,0,0,1,27,0,27,0,0
,Northern Michigan University,,7865,13,0,13,0,0,58,1,56,1,0
,Oakland Community College,,18923,1,0,0,0,1,19,0,17,2,0
,Oakland University,,20012,1,0,0,0,1,46,3,43,0,0
,Saginaw Valley State University,,9105,3,0,1,0,2,52,0,52,0,0
,Schoolcraft College,,11339,2,0,1,1,0,18,1,17,0,0
,University of Michigan: ,Ann Arbor,44718,18,0,4,2,12,529,28,493,8,1
,,Dearborn,9131,0,0,0,0,0,29,0,25,4,0
,,Flint,8044,1,0,0,0,1,49,1,48,0,1
,Western Michigan University,,23227,9,0,3,0,6,168,3,162,3,2
